country_name,country_iso2,country_iso3,lat,long,population,date,cases,deaths,tests,tests_units
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-01,2046,9,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-02,2094,9,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-03,2127,9,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-04,2149,10,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-05,2189,10,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-06,2207,10,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-07,2233,10,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-08,2298,10,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-09,2336,10,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-10,2387,10,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-11,2418,10,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-12,2509,10,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-13,2547,10,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-14,2612,11,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-15,2645,11,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-16,2691,11,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-17,2741,11,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-18,2753,12,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-19,2802,13,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-20,2880,13,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-21,2950,13,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-22,3006,13,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-23,3078,13,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-24,3132,13,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-25,3164,13,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-26,3261,13,0,
Uzbekistan,UZ,UZB,41.377491,64.585262,33469199,2020-05-27,3333,14,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-07,1,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-16,1,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-17,1,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-18,1,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-19,1,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-20,1,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-21,1,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-22,1,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-23,1,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-24,1,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-25,1,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-26,1,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-27,5,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-28,5,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-29,6,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-30,6,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-03-31,6,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-01,6,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-02,6,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-03,6,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-04,7,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-05,7,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-06,7,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-07,7,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-08,7,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-09,8,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-10,8,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-11,8,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-12,8,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-13,8,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-14,8,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-15,8,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-16,8,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-17,8,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-18,8,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-19,8,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-20,8,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-21,9,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-22,9,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-23,9,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-24,9,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-25,9,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-26,9,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-27,9,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-28,9,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-29,9,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-04-30,10,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-01,11,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-02,11,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-03,11,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-04,11,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-05,11,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-06,11,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-07,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-08,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-09,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-10,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-11,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-12,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-13,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-14,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-15,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-16,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-17,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-18,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-19,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-20,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-21,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-22,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-23,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-24,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-25,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-26,12,0,0,
Vatican,VA,VAT,41.902916,12.453389,809,2020-05-27,12,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-15,10,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-16,15,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-17,33,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-18,33,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-19,33,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-20,33,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-21,36,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-22,36,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-23,36,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-24,84,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-25,91,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-26,106,0,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-27,107,1,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-28,119,1,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-29,119,1,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-30,119,1,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-03-31,135,3,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-01,135,3,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-02,143,3,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-03,144,3,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-04,144,3,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-05,144,5,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-06,148,5,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-07,159,5,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-08,166,7,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-09,167,8,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-10,171,9,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-11,175,9,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-12,175,9,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-13,181,9,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-14,189,9,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-15,193,9,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-16,197,9,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-17,204,9,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-18,227,9,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-19,227,9,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-20,256,9,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-21,256,9,0,
Venezuela,VE,VEN,6.42375,-66.58973,28435943,2020-04-22,285,10,0,
